impl,epsilon,seed,dcr_mean,dcr_min,nndr_mean,exact_match_count,exact_match_rate,mia_auc,mia_advantage
mst_smartnoise,0.3,0,0.13188571428571427,0.0,0.82965,405,0.081,0.5031301250000001,0.006260250000000189
mst_smartnoise,0.3,1,0.12661428571428568,0.0,0.8374733333333334,366,0.0732,0.5031389999999999,0.006277999999999784
mst_smartnoise,1.0,0,0.10812857142857142,0.0,0.7736133333333334,694,0.1388,0.5093859999999999,0.01877199999999979
mst_smartnoise,1.0,1,0.10768571428571426,0.0,0.7743,661,0.1322,0.5029086249999999,0.005817249999999774
mst_smartnoise,3.0,0,0.10467142857142855,0.0,0.7787933333333333,635,0.127,0.5004963749999999,0.0009927499999997647
mst_smartnoise,3.0,1,0.10474285714285711,0.0,0.7742566666666667,656,0.1312,0.503023375,0.006046750000000101
mst_private_pgm,0.3,0,0.12748571428571426,0.0,0.8355766666666666,376,0.0752,0.49715725,-0.00568550000000001
mst_private_pgm,0.3,1,0.13442857142857143,0.0,0.8426766666666666,379,0.0758,0.508578,0.01715599999999995
mst_private_pgm,1.0,0,0.11325714285714285,0.0,0.7999499999999999,533,0.1066,0.5046042500000001,0.009208500000000175
mst_private_pgm,1.0,1,0.11312857142857143,0.0,0.7975566666666667,570,0.114,0.5106199999999999,0.021239999999999704
mst_private_pgm,3.0,0,0.10495714285714285,0.0,0.7712033333333332,685,0.137,0.5065772500000001,0.01315450000000018
mst_private_pgm,3.0,1,0.10458571428571427,0.0,0.7734766666666666,657,0.1314,0.5098105,0.01962100000000011
mst_dpmm,0.3,0,0.13234285714285712,0.0,0.8357066666666666,397,0.0794,0.514661625,0.029323250000000023
mst_dpmm,0.3,1,0.13449999999999995,0.0,0.8356333333333333,358,0.0716,0.50506925,0.01013850000000005
mst_dpmm,1.0,0,0.10967142857142856,0.0,0.7855980952380953,622,0.1244,0.49760075,-0.004798500000000039
mst_dpmm,1.0,1,0.11378571428571427,0.0,0.7889333333333334,610,0.122,0.50188225,0.0037644999999999484
mst_dpmm,3.0,0,0.10651428571428571,0.0,0.7751566666666667,669,0.1338,0.512860375,0.02572075000000007
mst_dpmm,3.0,1,0.10591428571428568,0.0,0.7843399999999999,628,0.1256,0.50284,0.005679999999999907
