impl,epsilon,seed,status,tvd_mean,bivariate_tvd_mean,dcr_mean,mia_auc,elapsed_fit,elapsed_sample
mst_smartnoise,0.3,0,ok,0.04368571428571429,0.10935164835164837,0.13188571428571427,0.5031301250000001,250.01596109906677,0.05994022300001234
mst_smartnoise,0.3,1,ok,0.04385714285714286,0.11249670329670329,0.12661428571428568,0.5031389999999999,248.98351143999025,0.05739629501476884
mst_smartnoise,1.0,0,ok,0.014157142857142853,0.05883956043956044,0.10812857142857142,0.5093859999999999,242.52984903997276,0.06623548804782331
mst_smartnoise,1.0,1,ok,0.015228571428571425,0.06248351648351647,0.10768571428571426,0.5029086249999999,244.3875434770016,0.06937378703150898
mst_smartnoise,3.0,0,ok,0.00472857142857143,0.04352307692307692,0.10467142857142855,0.5004963749999999,244.31121090298984,0.06357537198346108
mst_smartnoise,3.0,1,ok,0.004285714285714284,0.043367032967032974,0.10474285714285711,0.503023375,244.0524673400214,0.06610751803964376
mst_private_pgm,0.3,0,ok,0.04412857142857142,0.11064615384615387,0.12748571428571426,0.49715725,242.43825916189235,0.0017955390503630042
mst_private_pgm,0.3,1,ok,0.046728571428571404,0.11954505494505495,0.13442857142857143,0.508578,238.5826521499548,0.0008903789566829801
mst_private_pgm,1.0,0,ok,0.017742857142857144,0.06926373626373626,0.11325714285714285,0.5046042500000001,237.6300907280529,0.0007164289709180593
mst_private_pgm,1.0,1,ok,0.015328571428571433,0.0651912087912088,0.11312857142857143,0.5106199999999999,237.7593277799897,0.0008583660237491131
mst_private_pgm,3.0,0,ok,0.006014285714285715,0.04489010989010989,0.10495714285714285,0.5065772500000001,235.8161233230494,0.0007536889752373099
mst_private_pgm,3.0,1,ok,0.005014285714285713,0.042571428571428566,0.10458571428571427,0.5098105,233.79423740098719,0.000784595962613821
mst_dpmm,0.3,0,ok,0.037442857142857146,0.10892307692307693,0.13234285714285712,0.514661625,304.34855167299975,0.03973102301824838
mst_dpmm,0.3,1,ok,0.04358571428571428,0.12310329670329671,0.13449999999999995,0.50506925,299.7456204359187,0.05990789900533855
mst_dpmm,1.0,0,ok,0.015171428571428574,0.06314285714285715,0.10967142857142856,0.49760075,295.24961133499164,0.040392640978097916
mst_dpmm,1.0,1,ok,0.014971428571428561,0.06386373626373627,0.11378571428571427,0.50188225,298.7769168339437,0.04342111304868013
mst_dpmm,3.0,0,ok,0.0057999999999999935,0.04475604395604397,0.10651428571428571,0.512860375,301.11330094898585,0.042683987063355744
mst_dpmm,3.0,1,ok,0.004757142857142851,0.0426065934065934,0.10591428571428568,0.50284,303.33114374498837,0.038364722044207156
